способ соединения,дубли кода,записи без кода,строк в справочнике,вход,строк после merge,прирост
inner (умолчание pandas),оставлены,оставлены все пять,63,3534,5571,+57.6%
inner (умолчание pandas),оставлены,схлопнуты в одну,59,3534,3695,+4.6%
inner (умолчание pandas),сняты,оставлены все пять,60,3534,5399,+52.8%
inner (умолчание pandas),сняты,схлопнуты в одну,56,3534,3523,-0.3%
left,оставлены,оставлены все пять,63,3534,5582,+58.0%
left,оставлены,схлопнуты в одну,59,3534,3706,+4.9%
left,сняты,оставлены все пять,60,3534,5410,+53.1%
left,сняты,схлопнуты в одну,56,3534,3534,+0.0%
